UTC Timestamp,EEG Signal A3 (uV),EEG Signal A4 (uV)
2025-01-20 10:05:28.071187,348,0
2025-01-20 10:05:28.081187,195,0
2025-01-20 10:05:28.091187,336,0
2025-01-20 10:05:28.101187,297,0
2025-01-20 10:05:28.111187,435,1
2025-01-20 10:05:28.121187,358,0
2025-01-20 10:05:28.131187,460,1
2025-01-20 10:05:28.141187,371,0
2025-01-20 10:05:28.151187,484,1
2025-01-20 10:05:28.161187,373,0
2025-01-20 10:05:28.171187,536,1
2025-01-20 10:05:28.181187,70,0
2025-01-20 10:05:28.191187,96,0
2025-01-20 10:05:28.201187,0,0
2025-01-20 10:05:28.211187,122,0
2025-01-20 10:05:28.221187,122,0
2025-01-20 10:05:28.231187,343,0
2025-01-20 10:05:28.241187,361,0
2025-01-20 10:05:28.251187,391,0
2025-01-20 10:05:28.261187,199,0
2025-01-20 10:05:28.271187,338,0
2025-01-20 10:05:28.281187,302,0
2025-01-20 10:05:28.291187,356,0
2025-01-20 10:05:28.301187,240,0
2025-01-20 10:05:28.311187,485,1
2025-01-20 10:05:28.321187,483,1
2025-01-20 10:05:28.331187,602,2
2025-01-20 10:05:28.341187,435,0
2025-01-20 10:05:28.351187,474,1
2025-01-20 10:05:28.361187,312,0
2025-01-20 10:05:28.371187,324,0
2025-01-20 10:05:28.381187,243,0
2025-01-20 10:05:28.391187,394,0
2025-01-20 10:05:28.401187,0,0
2025-01-20 10:05:28.411187,49,0
2025-01-20 10:05:28.421187,0,0
2025-01-20 10:05:28.431187,150,0
2025-01-20 10:05:28.441187,190,0
2025-01-20 10:05:28.451187,275,0
2025-01-20 10:05:28.461187,358,0
2025-01-20 10:05:28.471187,401,0
2025-01-20 10:05:28.481187,360,0
2025-01-20 10:05:28.491187,482,1
2025-01-20 10:05:28.501187,343,0
2025-01-20 10:05:28.511187,387,0
2025-01-20 10:05:28.521187,341,0
2025-01-20 10:05:28.531187,536,1
2025-01-20 10:05:28.541187,487,1
2025-01-20 10:05:28.551187,545,1
2025-01-20 10:05:28.561187,471,1
2025-01-20 10:05:28.571187,644,2
2025-01-20 10:05:28.581187,542,1
2025-01-20 10:05:28.591187,624,2
2025-01-20 10:05:28.601187,576,1
2025-01-20 10:05:28.611187,590,1
2025-01-20 10:05:28.621187,536,1
2025-01-20 10:05:28.631187,685,2
2025-01-20 10:05:28.641187,368,0
2025-01-20 10:05:28.651187,340,0
2025-01-20 10:05:28.661187,203,0
2025-01-20 10:05:28.671187,374,0
2025-01-20 10:05:28.681187,325,0
2025-01-20 10:05:28.691187,407,0
2025-01-20 10:05:28.701187,404,0
2025-01-20 10:05:28.711187,481,1
2025-01-20 10:05:28.721187,345,0
2025-01-20 10:05:28.731187,440,0
2025-01-20 10:05:28.741187,432,0
2025-01-20 10:05:28.751187,574,1
2025-01-20 10:05:28.761187,527,1
2025-01-20 10:05:28.771187,721,3
2025-01-20 10:05:28.781187,494,1
2025-01-20 10:05:28.791187,538,1
2025-01-20 10:05:28.801187,515,1
2025-01-20 10:05:28.811187,696,2
2025-01-20 10:05:28.821187,601,1
2025-01-20 10:05:28.831187,692,2
2025-01-20 10:05:28.841187,539,1
2025-01-20 10:05:28.851187,561,1
2025-01-20 10:05:28.861187,477,1
2025-01-20 10:05:28.871187,548,1
2025-01-20 10:05:28.881187,481,1
2025-01-20 10:05:28.891187,478,1
2025-01-20 10:05:28.901187,357,0
2025-01-20 10:05:28.911187,645,2
2025-01-20 10:05:28.921187,436,0
2025-01-20 10:05:28.931187,525,1
2025-01-20 10:05:28.941187,348,0
2025-01-20 10:05:28.951187,465,1
2025-01-20 10:05:28.961187,387,0
2025-01-20 10:05:28.971187,427,0
2025-01-20 10:05:28.981187,389,0
2025-01-20 10:05:28.991187,531,1
2025-01-20 10:05:29.001187,477,1
2025-01-20 10:05:29.011187,587,1
2025-01-20 10:05:29.021187,473,1
2025-01-20 10:05:29.031187,600,2
2025-01-20 10:05:29.041187,433,0
2025-01-20 10:05:29.051187,547,1
2025-01-20 10:05:29.061187,459,1
2025-01-20 10:05:29.071187,591,1
2025-01-20 10:05:29.081187,494,1
2025-01-20 10:05:29.091187,668,2
2025-01-20 10:05:29.101187,654,2
2025-01-20 10:05:29.111187,678,2
2025-01-20 10:05:29.121187,580,1
2025-01-20 10:05:29.131187,635,2
2025-01-20 10:05:29.141187,496,1
2025-01-20 10:05:29.151187,544,1
2025-01-20 10:05:29.161187,527,1
2025-01-20 10:05:29.171187,576,1
2025-01-20 10:05:29.181187,480,1
2025-01-20 10:05:29.191187,612,1
2025-01-20 10:05:29.201187,659,2
2025-01-20 10:05:29.211187,533,1
2025-01-20 10:05:29.221187,431,0
2025-01-20 10:05:29.231187,424,0
2025-01-20 10:05:29.241187,411,0
2025-01-20 10:05:29.251187,517,1
2025-01-20 10:05:29.261187,455,1
2025-01-20 10:05:29.271187,514,1
2025-01-20 10:05:29.281187,422,0
2025-01-20 10:05:29.291187,591,1
2025-01-20 10:05:29.301187,509,1
2025-01-20 10:05:29.311187,659,2
2025-01-20 10:05:29.321187,527,1
2025-01-20 10:05:29.331187,651,2
2025-01-20 10:05:29.341187,499,1
2025-01-20 10:05:29.351187,627,2
2025-01-20 10:05:29.361187,478,1
2025-01-20 10:05:29.371187,555,1
2025-01-20 10:05:29.381187,444,1
2025-01-20 10:05:29.391187,575,1
2025-01-20 10:05:29.401187,507,1
2025-01-20 10:05:29.411187,582,1
2025-01-20 10:05:29.421187,563,1
2025-01-20 10:05:29.431187,668,2
2025-01-20 10:05:29.441187,512,1
2025-01-20 10:05:29.451187,700,2
2025-01-20 10:05:29.461187,609,2
2025-01-20 10:05:29.471187,668,2
2025-01-20 10:05:29.481187,557,1
2025-01-20 10:05:29.491187,613,2
2025-01-20 10:05:29.501187,462,1
2025-01-20 10:05:29.511187,608,1
2025-01-20 10:05:29.521187,443,1
2025-01-20 10:05:29.531187,445,1
2025-01-20 10:05:29.541187,479,1
2025-01-20 10:05:29.551187,584,1
2025-01-20 10:05:29.561187,466,1
2025-01-20 10:05:29.571187,534,1
2025-01-20 10:05:29.581187,467,1
2025-01-20 10:05:29.591187,499,1
2025-01-20 10:05:29.601187,443,1
2025-01-20 10:05:29.611187,612,1
2025-01-20 10:05:29.621187,412,0
2025-01-20 10:05:29.631187,528,1
2025-01-20 10:05:29.641187,407,0
2025-01-20 10:05:29.651187,485,1
2025-01-20 10:05:29.661187,412,0
2025-01-20 10:05:29.671187,495,1
2025-01-20 10:05:29.681187,390,0
2025-01-20 10:05:29.691187,631,2
2025-01-20 10:05:29.701187,599,1
2025-01-20 10:05:29.711187,650,2
2025-01-20 10:05:29.721187,551,1
2025-01-20 10:05:29.731187,483,1
2025-01-20 10:05:29.741187,441,1
2025-01-20 10:05:29.751187,527,1
2025-01-20 10:05:29.761187,456,1
2025-01-20 10:05:29.771187,508,1
2025-01-20 10:05:29.781187,403,0
2025-01-20 10:05:29.791187,599,1
2025-01-20 10:05:29.801187,529,1
2025-01-20 10:05:29.811187,670,2
2025-01-20 10:05:29.821187,506,1
2025-01-20 10:05:29.831187,764,3
2025-01-20 10:05:29.841187,945,5
2025-01-20 10:05:29.851187,1018,5
2025-01-20 10:05:29.861187,1018,6
2025-01-20 10:05:29.871187,1018,5
2025-01-20 10:05:29.881187,1018,5
2025-01-20 10:05:29.891187,1018,5
2025-01-20 10:05:29.901187,1018,5
